"COLLPER","SELUNIT_ID","PSUIX","SEGID","LINEID","DSCOPSTT","INITSTAT","TENURE","COUNTY","STATE","CPMOVIN","LGHOCC","RNTC","RSPCODC","t_prcuse6","NOBED","NOHBH","NOFULBH","TYSTRC","tystrc_desc","ECRNTCL","PURNTCL","Collected_Or_Imputed","LATITUDE","LONGITUDE","UTAPT","UTCITY","UTSENA","UTSENO","UTSTATE","UTZIP","Clust"
"202601",184711,"S11A","B0140",1776,"I","S","R","023","MA","",0,2398,"99","J","2","0","2","12","Multi, 50 units",2748.48253876395,2664.80426985896,"Imputed",41.87765,-70.60052,"1336","PLYMOUTH","PINEHILLS DR","40","MA","02360",6
"202601",184712,"S11A","B0140",1814,"I","S","R","023","MA","202210",34,2542,"99","J","1","0","1","12","Multi, 50 units",2633.19576517514,2696.735506748,"Imputed",41.87765,-70.60052,"1428","PLYMOUTH","PINEHILLS DR","40","MA","02360",6
"202601",184984,"S11A","B0160",131,"I","S","R","025","MA","202209",0,3200,"01","Y","3","0","1","8","Multi, 3-4 units",3578.8203166369,3531.15351889064,"Collected",42.335379,-71.053482,"2","SOUTH BOSTON","BAXTER ST","76","MA","02127",3
"202601",184992,"S11A","B0160",723,"I","S","R","025","MA","202409",11,2800,"02","J","2","0","1","9","Multi, 5-9 units",2816.74898629872,2711.66767143878,"Imputed",42.332765,-71.051948,"1R","SOUTH BOSTON","W 9TH ST","228","MA","02127",3
"202601",184995,"S11A","B0160",926,"I","S","R","025","MA","202205",0,2600,"01","Y","1","0","1","8","Multi, 3-4 units",2679.55054968588,2632.2174401662,"Collected",42.332888,-71.052207,"1","SOUTH BOSTON","W 9TH ST","217","MA","02127",3
"202601",185027,"S11A","B0163",1489,"I","S","R","025","MA","202307",0,4400,"02","J","1","0","1","9","Multi, 5-9 units",4061.63520568797,3798.87300135556,"Imputed",42.343134,-71.071496,"3","BOSTON","UNION PARK","35","MA","02118",3
"202601",185028,"S11A","B0163",1574,"I","S","R","025","MA","202209",35,2100,"02","J","1","0","1","9","Multi, 5-9 units",2395.19246081405,2318.28123872817,"Imputed",42.34216,-71.07054,"5","BOSTON","UNION PARK","1","MA","02118",3
"202601",185050,"S11A","B0166",12,"I","S","R","025","MA","202103",53,120,"01","Y","2","0","1","8","Multi, 3-4 units",2894.94602565412,2847.23137721466,"Collected",42.3098,-71.064227,"2","DORCHESTER","DOWNER CT","5","MA","02122",3
"202601",185058,"S11A","B0166",355,"I","S","R","025","MA","201806",86,2300,"02","J","3","0","1","7","Multi, 2 units",2324.84527962922,1968.6372138769,"Imputed",42.310332,-71.066451,"2","DORCHESTER","FERNALD TER","15","MA","02125",3
"202601",185062,"S11A","B0166",498,"I","S","R","025","MA","202111",45,2500,"01","Y","3","0","1","8","Multi, 3-4 units",2783.55822588116,2736.03846769192,"Collected",42.311375,-71.06287,"1","DORCHESTER","HANCOCK ST","137","MA","02125",3
